iter	RMSE
0	3645.894339
1	3094.388133
2	2771.684905
3	2590.334365
4	2383.691411
5	2273.846476
6	2203.11231
7	2158.844497
8	2124.502728
9	2104.139977
10	2061.104766
11	2033.459175
12	2007.743388
13	1996.762295
14	1986.987316
15	1977.864367
16	1968.699146
17	1960.737716
18	1956.553886
19	1952.151433
20	1947.759596
21	1942.445117
22	1939.423953
23	1935.94306
24	1932.260533
25	1930.065792
26	1927.287728
27	1921.19771
28	1917.429645
29	1914.215737
30	1909.738678
31	1905.903709
32	1903.939207
33	1902.338588
34	1899.345631
35	1898.496399
36	1895.834118
37	1894.245939
38	1891.477661
39	1888.745513
40	1885.880636
41	1883.969868
42	1882.081979
43	1879.003075
44	1878.999952
45	1875.547891
46	1873.391244
47	1872.427211
48	1869.581069
49	1869.072201
50	1867.867423
51	1866.297472
52	1864.49485
53	1863.54533
54	1862.188774
55	1860.834236
56	1859.518253
57	1858.413096
58	1856.406278
59	1854.593239
60	1852.866952
61	1851.713784
62	1850.88919
63	1849.738769
64	1848.876501
65	1847.640832
66	1845.998039
67	1844.589003
68	1842.814665
69	1841.121938
70	1840.501671
71	1839.388598
72	1838.141681
73	1837.24938
74	1836.61489
75	1836.204618
76	1835.96669
77	1834.987342
78	1834.310804
79	1833.578343
80	1832.322633
81	1831.974955
82	1831.544546
83	1831.02501
84	1830.415244
85	1829.331734
86	1828.713923
87	1827.727292
88	1826.906282
89	1825.781576
90	1825.042419
91	1824.612808
92	1823.797589
93	1823.20536
94	1822.367103
95	1821.362959
96	1821.132744
97	1819.930235
98	1818.625951
99	1818.326217
100	1817.735442
101	1816.679197
102	1816.238108
103	1814.931965
104	1813.937127
105	1813.548897
106	1812.402599
107	1812.143998
108	1811.789867
109	1811.030545
110	1810.249887
111	1809.726354
112	1809.069977
113	1808.337309
114	1807.733122
115	1807.39884
116	1806.724748
117	1806.386817
118	1806.141208
119	1805.550696
120	1804.788445
121	1804.166175
122	1803.434859
123	1802.790018
124	1802.750292
125	1802.201629
126	1801.645508
127	1800.992486
128	1800.720349
129	1799.984188
130	1799.594563
131	1799.541918
132	1799.090626
133	1799.013284
134	1798.157965
135	1797.630798
136	1797.224154
137	1796.953162
138	1796.390267
139	1795.967317
140	1795.403853
141	1794.85596
142	1793.794794
143	1793.210265
144	1792.581406
145	1792.175265
146	1792.124631
147	1791.884317
148	1790.912342
149	1790.54523
