iter	Passed	Remaining
0	158	23591
1	249	18495
2	336	16502
3	453	16565
4	542	15736
5	624	14987
6	717	14656
7	910	16154
8	1120	17548
9	1204	16868
10	1281	16191
11	1435	16510
12	1676	17665
13	1781	17302
14	1866	16798
15	1955	16379
16	2105	16470
17	2204	16168
18	2295	15827
19	2416	15709
20	2536	15580
21	2616	15225
22	2710	14964
23	2818	14799
24	3025	15126
25	3112	14842
26	3198	14569
27	3288	14329
28	3369	14057
29	3445	13783
30	3542	13598
31	3647	13451
32	3742	13267
33	3844	13115
34	3957	13004
35	4038	12789
36	4124	12597
37	4213	12417
38	4327	12316
39	4423	12165
40	4506	11981
41	4587	11797
42	4671	11623
43	4754	11453
44	4797	11194
45	4905	11091
46	5098	11172
47	5237	11129
48	5342	11012
49	5440	10880
50	5527	10729
51	5612	10578
52	5695	10423
53	5792	10297
54	5880	10157
55	5964	10011
56	6045	9864
57	6130	9724
58	6216	9587
59	6353	9529
60	6474	9446
61	6551	9299
62	6634	9162
63	6728	9041
64	6810	8906
65	6890	8769
66	6985	8654
67	7089	8548
68	7190	8441
69	7282	8322
70	7363	8192
71	7446	8067
72	7534	7947
73	7614	7820
74	7693	7693
75	7773	7569
76	7851	7443
77	7934	7324
78	8029	7216
79	8107	7093
80	8185	6973
81	8264	6853
82	8344	6736
83	8435	6627
84	8527	6521
85	8604	6403
86	8684	6289
87	8764	6175
88	8846	6063
89	8935	5956
90	9018	5847
91	9103	5738
92	9180	5626
93	9257	5515
94	9343	5409
95	9419	5298
96	9498	5189
97	9586	5086
98	9668	4980
99	9748	4874
100	9830	4769
101	9931	4673
102	10051	4586
103	10172	4499
104	10272	4402
105	10363	4301
106	10455	4201
107	10537	4098
108	10615	3992
109	10706	3893
110	10792	3792
111	10921	3705
112	11080	3628
113	11159	3524
114	11256	3425
115	11337	3322
116	11423	3222
117	11507	3120
118	11585	3018
119	11662	2915
120	11751	2816
121	11836	2716
122	11956	2624
123	12092	2535
124	12246	2449
125	12381	2358
126	12532	2269
127	12713	2185
128	12808	2085
129	12891	1983
130	12986	1883
131	13066	1781
132	13150	1680
133	13234	1580
134	13322	1480
135	13403	1379
136	13488	1279
137	13572	1180
138	13656	1080
139	13737	981
140	13822	882
141	13906	783
142	13989	684
143	14081	586
144	14163	488
145	14255	390
146	14337	292
147	14423	194
148	14512	97
149	14608	0
